# Program:featureCounts v1.6.2; Command:"featureCounts" "-p" "-t" "exon" "-T" "2" "-g" "gene_id" "-a" "ref-data/gencode.v35.annotation.gtf" "-o" "output/COAD/counts/expression/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6.txt" "data/bam/COAD/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6/b8f29ff7-6db3-4188-97ac-8dc559923ca1_gdc_realn_rehead.bam" 
Geneid	Chr	Start	End	Strand	Length	data/bam/COAD/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6/b8f29ff7-6db3-4188-97ac-8dc559923ca1_gdc_realn_rehead.bam
ENSG00000146063.20	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	181222499;181223281;181223290;181223290;181224058;181224166;181224691;181230744;181230744;181230744;181230744;181230744;181230744;181232659;181232659;181232659;181232659;181232659;181232659;181233409;181233413;181233413;181233413;181233413;181233636;181233636;181233636;181233636;181233636;181233706;181234125;181234174;181234174;181234174;181234174;181234174;181234174;181234932;181234932;181234996;181235354;181235354;181235354	181222781;181224812;181224812;181224812;181224812;181224812;181230839;181235803;181230839;181230839;181230839;181230839;181230839;181233524;181232889;181232889;181232889;181232889;181232889;181233435;181233763;181233435;181233435;181233435;181233763;181233763;181233763;181233763;181233763;181233763;181234818;181234349;181234349;181235806;181234349;181235808;181234326;181234995;181234995;181235079;181235397;181235807;181235808	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12811	1319
ENSG00000286310.1	chr5	181276848	181277555	+	708	0
ENSG00000217929.4	chr6;chr6;chr6;chr6	131910;140211;142272;144536	132117;140379;145083;144885	-;-;-;-	3189	0
ENSG00000281809.1	chr6;chr6	1321698;1323899	1321986;1324022	-;-	413	0
ENSG00000232999.1	chr6;chr6	2910613;2911990	2910681;2912113	-;-	193	0
ENSG00000217135.2	chr6	3921847	3922146	+	300	0
ENSG00000271978.1	chr6;chr6	5031756;5054078	5034682;5054423	-;-	3273	10
ENSG00000283616.1	chr6	6169334	6169409	+	76	0
ENSG00000279368.1	chr6	6685148	6686984	+	1837	29
ENSG00000124782.20	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	7107597;7107799;7107821;7107961;7108026;7108031;7108031;7108632;7139245;7140648;7176655;7176655;7176655;7176655;7176655;7176655;7176655;7176655;7176655;7181124;7181124;7181124;7181124;7181124;7181124;7181124;7181124;7181124;7181870;7181870;7181870;7181870;7181870;7181870;7181870;7181870;7187434;7187434;7187434;7187434;7187434;7187434;7187434;7187434;7189159;7189159;7189159;7189159;7189159;7189159;7189159;7189159;7210804;7210804;7210804;7210804;7210804;7210804;7210804;7211573;7211573;7211573;7211573;7211573;7211573;7226467;7226467;7226467;7226467;7226467;7228997;7228997;7228997;7228997;7228997;7230642;7240438;7240438;7246424;7246424;7246424;7246424;7246668;7246762;7248511;7248511;7248511;7248511;7248511	7107768;7108060;7108064;7108060;7108060;7108060;7108060;7108702;7139298;7140808;7176773;7176773;7176773;7176773;7176773;7176773;7176773;7176773;7176773;7181246;7182082;7181246;7181246;7181158;7181246;7181289;7181246;7181246;7182082;7182082;7182082;7181923;7182082;7182082;7182082;7182082;7187523;7187523;7187523;7187523;7187523;7187523;7187523;7187523;7189322;7189322;7189322;7189322;7189322;7189322;7189306;7189322;7210948;7210948;7210948;7210948;7210948;7210871;7210948;7211709;7219091;7211709;7211709;7211709;7211709;7226656;7226656;7226656;7226656;7226656;7230433;7231907;7231907;7231907;7231907;7231907;7240602;7240602;7246665;7247221;7247221;7247221;7246760;7247221;7250012;7251030;7250012;7251980;7249274	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	17254	2156
ENSG00000285219.2	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	8435568;8435578;8435578;8435578;8435578;8435578;8435578;8435582;8435585;8435588;8435589;8435592;8435594;8435602;8435606;8435620;8435620;8435620;8435620;8435623;8435623;8435624;8435627;8435627;8435627;8435629;8435631;8435631;8435636;8435638;8435638;8435638;8435638;8435638;8435638;8435639;8435640;8435640;8435640;8435640;8435641;8435641;8435641;8435641;8435641;8435644;8435645;8435645;8435645;8435646;8435646;8435646;8435647;8435648;8435648;8435654;8435659;8435659;8435659;8435659;8435659;8435659;8435663;8435663;8435693;8435693;8435705;8435710;8435712;8435712;8435722;8435751;8435856;8435873;8435893;8435924;8435949;8436000;8436033;8436133;8436135;8436138;8436144;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437940;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8437963;8469991;8469991;8469991;8469991;8469991;8473555;8493685;8501277;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8547117;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8558585;8577268;8607008;8607008;8608862;8652137;8652262;8652262;8652287;8652287;8652294;8653545;8653545;8653545;8653545;8653545;8653545;8653545;8653545;8678957;8710609;8751005;8754786;8754786;8754786;8754786;8754786;8759799;8759838;8760377;8760377;8760377;8760377;8760377;8760377;8760377;8760377;8776036;8779887;8779887;8779887;8780249;8783275;8784180;8784180;8784180;8784180;8784180;8784180;8784180;8784180;8784180;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8784191;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785117;8785122;8785122;8785122;8788304;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8788822;8789310;8790272;8790272;8790272;8790272;8790272;8790272;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8791945;8799134;8805129;8809917;8831502;8831502;8831502;8831502;8835901;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8836511;8838786;8838786;8838786;8838786;8838786;8838786;8838791;8848765;8850839;8854773;8855680;8855680;8855680;8855680;8855978;8856394;8856394;8858129;8858129;8860116;8860116;8872087;8872313;8887938;8906072;8906078;8923686;8923686;8923686;8923686;8923691;8925814;8925814;8925814;8925814;8925814;8925814;8925814;8925814;8925814;8932842;8937391;8938544;8938544;8938544;8959636;8959636;8959636;8959856;8959856;8959856;8959856;8959856;8959856;8960707;8960707;8961455;8961455;8961459;8961459;8961459;8961459;8965188;8965315;8965407;8967094;8985730;8985730;8988742;8992163;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992165;8992184;9023271;9025865;9040845;9041624;9041624;9041625;9041625;9041625;9041625;9041627;9041833;9044262;9044262;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9046420;9049971;9090880;9090880;9090880;9090880;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092217;9092594;9092594;9092594;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9095345;9188866;9188866;9188866;9192519;9224594;9224939;9224939;9224939;9224939;9224939;9224939;9224939;9225327;9225327;9225327;9225327;9225327;9225327;9238303;9283761;9283761;9286330;9291970;9293090	8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8436178;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8438031;8470132;8470132;8471005;8470725;8470132;8475219;8493778;8501635;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8547214;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8558643;8577449;8607168;8607168;8611044;8652390;8653136;8653136;8652390;8652390;8652390;8653814;8654237;8653830;8653799;8653793;8653776;8653796;8653802;8679025;8712293;8751067;8755277;8756723;8756727;8754892;8754892;8759958;8759958;8760495;8760495;8760495;8760495;8760495;8760495;8760495;8760495;8776173;8780007;8780007;8780007;8780367;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8784337;8785443;8786889;8785217;8785271;8785435;8785217;8785271;8785443;8785443;8785271;8785217;8785217;8785271;8785443;8785271;8785442;8785432;8785442;8785217;8785442;8785217;8786348;8785271;8785444;8785443;8785445;8785217;8785217;8785443;8785442;8785433;8785217;8785217;8785432;8785433;8785443;8785444;8785217;8786882;8785217;8786914;8785217;8785217;8786914;8785443;8785443;8785443;8785271;8785442;8785323;8790434;8790434;8789677;8790434;8790434;8790434;8790434;8788946;8790434;8790298;8788964;8788946;8790434;8790434;8790434;8789617;8790434;8789418;8790375;8790434;8790434;8790434;8790434;8790434;8792279;8792264;8792230;8792263;8792259;8792252;8792264;8792311;8792307;8792311;8792264;8792311;8792308;8792306;8792261;8792283;8792291;8799309;8805312;8810394;8831621;8831621;8831621;8831621;8835979;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8836574;8841205;8841101;8838982;8841253;8841108;8841127;8841224;8849041;8850951;8854849;8855794;8855794;8855794;8855794;8856105;8857622;8857942;8858389;8858355;8862080;8861999;8872216;8875024;8888526;8906156;8906156;8923832;8923832;8923832;8923832;8923832;8925931;8925931;8925931;8925931;8925931;8925931;8925931;8925931;8925931;8932885;8937480;8940358;8939589;8940348;8959748;8959748;8959748;8959950;8959950;8959950;8959950;8959950;8959950;8960815;8960815;8961564;8961564;8961564;8961564;8961564;8961564;8965457;8965457;8965457;8967207;8985789;8985847;8989084;8992294;8992294;8992294;8992294;8993096;8992294;8992294;8992294;8992294;8992294;8992294;8992294;8992294;8992294;8992294;8992294;8992294;9023324;9025908;9040953;9041660;9042162;9041695;9042162;9041695;9042162;9042162;9042162;9044392;9044392;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9046491;9052423;9091080;9091080;9091080;9091071;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092308;9092752;9092752;9092752;9096238;9096661;9096238;9096238;9096238;9096238;9096238;9096238;9096691;9096238;9095712;9096238;9095697;9096238;9096238;9096691;9189035;9189035;9189035;9194766;9225070;9225070;9225070;9225070;9225070;9225324;9225381;9225070;9226261;9227131;9227098;9226156;9227650;9225815;9239687;9283866;9283866;9287482;9292023;9294133	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	48395	1981
ENSG00000238076.1	chr6	10459906	10460541	-	636	0
ENSG00000231056.1	chr6;chr6	10474500;10478341	10474593;10478502	-;-	256	0
ENSG00000197977.4	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	10980759;10989703;10990318;10995007;11000087;11005372;11010746;11044228	10983906;10989837;10990442;10995178;11000164;11005559;11010809;11044305	-;-;-;-;-;-;-;-	3988	5
ENSG00000137198.10	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	16238587;16246842;16250284;16254562;16257973;16274415;16278784;16285793;16285793;16289518;16289945;16290462;16290462;16290462;16295006;16295006;16295006;16295006	16238780;16246961;16250367;16254735;16258121;16274496;16278890;16285835;16285835;16289568;16290621;16290621;16290621;16290621;16295121;16295544;16295328;16295549	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2225	768
ENSG00000124789.12	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	17615035;17615035;17615037;17616527;17616527;17616527;17624561;17624561;17624561;17625808;17625808;17625808;17628655;17628655;17628655;17632650;17632650;17632650;17637153;17637153;17637153;17639939;17639939;17646067;17646067;17646067;17647807;17647807;17647807;17649163;17649163;17649163;17651834;17661653;17661653;17661653;17662018;17662018;17662018;17665239;17665239;17665239;17668975;17668975;17668975;17669293;17669293;17669293;17669430;17669430;17669430;17674905;17674905;17674905;17675229;17675229;17675229;17675522;17675522;17675522;17688396;17688396;17688396;17706277;17706277;17706277	17616181;17616181;17616181;17616695;17616695;17616695;17624833;17624833;17624833;17626164;17626164;17626164;17629539;17629539;17629539;17632844;17632844;17632844;17637770;17637770;17637770;17640064;17640064;17646154;17646154;17646154;17647905;17647905;17647905;17649300;17649300;17649300;17651926;17661779;17661779;17661779;17662070;17662070;17662070;17665385;17665385;17665385;17669028;17669028;17669028;17669337;17669337;17669337;17669546;17669546;17669546;17675033;17675033;17675033;17675368;17675368;17675368;17675770;17675770;17675770;17688618;17688618;17688618;17706925;17706834;17706834	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6121	2821
ENSG00000286590.1	chr6;chr6	20321461;20331706	20321575;20333193	+;+	1603	0
ENSG00000227089.2	chr6;chr6	21354411;21355102	21354601;21355296	-;-	386	0
